ID,Input_Text,Input_Language,Target_Language,Translated_Text,Context,Sentence_Length,Intent
1,Quel est le mot de passe Wi-Fi ?,fr,uk,Який у вас пароль Wi-Fi?,Travel,Medium,Translate
2,Puis-je payer par carte ?,fr,uk,Чи можу я оплатити карткою?,Travel,Medium,Translate
3,What time is it now?,en,fr,Quelle heure est-il maintenant ?,Casual,Medium,Request
4,Do you have any discounts?,en,uk,Чи є у вас знижки?,Technical,Medium,Translate
5,Як зв’язатися з підтримкою?,uk,fr,Comment contacter le support ?,Travel,Short,Translate
6,¿Cómo llegar a la estación de tren?,es,fr,Comment aller à la gare ?,Travel,Medium,Translate
7,Where is the nearest pharmacy?,en,es,¿Dónde está la farmacia más cercana?,Travel,Medium,Inform
8,Avez-vous des réductions ?,fr,en,Do you have any discounts?,Casual,Short,Request
9,How far is the airport?,en,uk,Як далеко до аеропорту?,Technical,Medium,Inform
10,How much does it cost?,en,uk,Скільки це коштує?,Formal,Medium,Clarify
11,Où puis-je trouver un hôtel ?,fr,es,¿Dónde puedo encontrar un hotel?,Travel,Medium,Request
12,How to get to the train station?,en,fr,Comment aller à la gare ?,Emergency,Medium,Translate
13,"Привіт, як справи?",uk,fr,"Bonjour, comment vas-tu ?",Technical,Short,Request
14,Merci pour votre attention.,fr,uk,Дякую за вашу увагу.,Travel,Short,Inform
15,Y a-t-il des places libres au restaurant ?,fr,uk,Чи є вільні місця в ресторані?,Technical,Medium,Clarify
16,Combien ça coûte ?,fr,es,¿Cuánto cuesta?,Travel,Short,Translate
17,Мені потрібен переклад цього документа.,uk,fr,J'ai besoin d'une traduction de ce document.,Casual,Medium,Request
18,¿Puedo pagar con tarjeta?,es,en,Can I pay by card?,Formal,Short,Translate
19,Comment connecter une imprimante à l'ordinateur ?,fr,en,How to connect a printer to the computer?,Technical,Medium,Translate
20,Де я можу купити квитки на концерт?,uk,fr,Où puis-je acheter des billets pour un concert ?,Technical,Medium,Inform
21,Чи є у вас знижки?,uk,fr,Avez-vous des réductions ?,Technical,Medium,Inform
